Цикл;Том;Код раздела;Уникальный код раздела;Название раздела;Глава;Код дглавы;Уникальный код главы;Название главы;Номер параграфа;Название параграфа;Пункты (с-по)
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 4. Резомиралы;Глава 4;БДК / Раздел XVI / Глава 4;Резомиралы;14.16.4.2;Принцип сллоогрентности в формировании структуры Резомиралов. Сравнение Резомиралов с математическим понятием множеств.;15725-15730
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 4. Резомиралы;Глава 4;БДК / Раздел XVI / Глава 4;Резомиралы;14.16.4.3;Структура ллууввумического Резомирала. Участие протоформных Формо-Творцов в образовании под-Резомиралов в диапазоне 3-4 мерностей.;15731-15735
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 4. Резомиралы;Глава 4;БДК / Раздел XVI / Глава 4;Резомиралы;14.16.4.4;Взаимосвязь ОДС, Резомиралов и Форм Самосознаний. Образование условий для совместного проявления разных Прото-Форм и человеческих рас.;15736-15740
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 4. Резомиралы;Глава 4;БДК / Раздел XVI / Глава 4;Резомиралы;14.16.4.5;Изначальное существование Резомиралов, структурирующих Формы разных Временных Потоков. ? Возможность межформотипных перефокусировок.;15741-15743
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 4. Резомиралы;Глава 4;БДК / Раздел XVI / Глава 4;Резомиралы;14.16.4.6;Сравнение резомиральных структур и гексаэдральных фрактальностей.;15744-15748
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 4. Резомиралы;Глава 4;БДК / Раздел XVI / Глава 4;Резомиралы;14.16.4.7;Резомиралы, как объективные структуры, синтезированные в Один-Единственный Миг Проявления Мироздания. ? Иллюзия Синтеза для обретения Опыта и процесс «схлопывания» Конфигураций.;15749-15754
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 4. Резомиралы;Глава 4;БДК / Раздел XVI / Глава 4;Резомиралы;14.16.4.8;Структурирование Континуумов Резомиралами. Динамика кармонаций с учётом резомиральных структур.;15755-15757
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 5. «Геометрия» Кармо-Плазмы;Глава 5;БДК / Раздел XVI / Глава 5;«Геометрия» Кармо-Плазмы;14.16.5.1;Взаимосвязь между «тензорностью» и количеством разнокачественных Формо-Творцов, структурирующих «кармонацию». ? Многоуровневая структура частотного проявления Формо-Творцов «тетраэдров» (в каждом «тетраэдре» есть все уровни) - высокочастотная Информация принадлежит всем Формо-Творцам и одновременно каждому из них.;15758-15759
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 5. «Геометрия» Кармо-Плазмы;Глава 5;БДК / Раздел XVI / Глава 5;«Геометрия» Кармо-Плазмы;14.16.5.2;"Влияние мотивации на уровень осознанности; пример с иголкой. Познавая себя в «бедах» мы становимся более полноценными Творцами Судьбы. Эксперимент Линдемана – умение найти более качественную мотивацию.";15760-15768
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 5. «Геометрия» Кармо-Плазмы;Глава 5;БДК / Раздел XVI / Глава 5;«Геометрия» Кармо-Плазмы;14.16.5.3;Фрактальная природа чисел. О математике будущего.;15769-15771
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 5. «Геометрия» Кармо-Плазмы;Глава 5;БДК / Раздел XVI / Глава 5;«Геометрия» Кармо-Плазмы;14.16.5.4;Гексаэдрально-икосаэдрально-додекаэдральная модель ДНК. ? «Кармонации», как межмерностные «порталы» перефокусировочной динамики.;15772-15774
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 5. «Геометрия» Кармо-Плазмы;Глава 5;БДК / Раздел XVI / Глава 5;«Геометрия» Кармо-Плазмы;14.16.5.5;Характер синтетических процессов, происходящих в высших резопазонах 3-4 мерности и в диапазоне 4-5 мерности.;15775-15777
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 5. «Геометрия» Кармо-Плазмы;Глава 5;БДК / Раздел XVI / Глава 5;«Геометрия» Кармо-Плазмы;14.16.5.6;Условность геометрических представлений. Цвето-звуковое восприятие процессов Синтеза.;15778-15781
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 5. «Геометрия» Кармо-Плазмы;Глава 5;БДК / Раздел XVI / Глава 5;«Геометрия» Кармо-Плазмы;14.16.5.7;Геометрические трансформации как принцип поуровневой материализации.;15782-15783
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 5. «Геометрия» Кармо-Плазмы;Глава 5;БДК / Раздел XVI / Глава 5;«Геометрия» Кармо-Плазмы;14.16.5.8;Всю информацию можно получить «из одного ребра». Сллоогрентная природа «кармонаций».;15784-15788
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 5. «Геометрия» Кармо-Плазмы;Глава 5;БДК / Раздел XVI / Глава 5;«Геометрия» Кармо-Плазмы;14.16.5.9;«Катализаторы». Формирование додекаэдральных «кармонаций». Отличия «гексаэдров» доминантных Качеств от «гексаэдров» фоновых катализаторов. Померностная список участия «катализаторов в процессах Синтеза.;15789-15794
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 5. «Геометрия» Кармо-Плазмы;Глава 5;БДК / Раздел XVI / Глава 5;«Геометрия» Кармо-Плазмы;14.16.5.10;Кармо-Формы как энергоинформационные «ёмкости».;15795-15796
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.1;"«Угловая сферация» и свилгс:
 - причина возникновения «дисперсивно-флуктуационных» сфераций
 - свилгс, как «заряд» «кармонации»
 - аналогия со спином, мультиплетность
 - аналогия свилгсовой волны и магнона
 - механизм «угловой сферации» 
- псевдовращательный процесс, как механизм перепроецирования Конфигурации Формо-Творцов
- свилгс, как Направление «угловой сферации»";15797-15811
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.2;"Свилгсоны – гравитон-аналоги – хвасслоны.
Классификация свилгсонов . Аввакклоны";15812-15813
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.3;Сллоогрентность Конфигураций хвасслонов.  Типы хвасслонов. Гармонизирующая динамика хвасслонов в процессах Синтеза. Пример мультиполяризации процесса Синтеза через разные типы хвасслонных связей. ;15814-15819
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.4;Хвасслоны, как модификаторы тензорных состояний Конфигураций синтезирующихся «кармонаций». Принадлежность каждого типа хвасслонов своему Чистому Качеству.;15820-15821
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.5;Образное понимание свилгс-динамики. Хвасслон, как аттракторная «траектория» в схеме Синтеза. Задача хвасслона – осуществить максимально глубокий Синтез.;15822-15824
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.6;Сценарии развития как время между «смертельными» перефокусировками. Субъективное и объективное восприятие сценариев.;15825-15826
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.7;Определение Т-признака. Связь Т-признака и качественности Выборов. Связь Т-признака со свилгс-сферациями и ССФУ-УНГСС-сдвигами.;15827-15832
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.8;Диссонационные расстояния. ? Явление Смерти как объективная необходимость межкачественного Синтеза. ? Взаимосвязь Направления перефокусировок, Т-признака и количества свилгс-сфераций.;15833-15837
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.9;«Временные петли» и механизм их формирования через проработку протоформных Направлений развития. Аналогия с межвозрастными перефокусировками. ? Возникновение «тензоров» (диссонационных расстояний) как неспособность к «распаковке» более качественных СФУУРММ-Форм.;15837-15844
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.10;Определение диссонационного расстояния. Сллоогрентная природа синтетических процессов. Механизм формирования «тензоров» и их нивелирование через разнокачественные сценарии.;15845-15849
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.11;Роль свилгсонов в инерционной динамике на примере структуры 12-мерной Кармо-Формы. Энерго-информационные тяжи и импульс возвратного движения как синтетически процессы в структуре Самосознания. ? Дифференциация Временной Сущности.;15850-15855
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.12;Пример с GPS-навигатором.;15856-15864
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.13;Об инерционных особенностях совершения Выборов, тензорах и качестве фокусируемых сценариев.;15865-15867
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.14;Высшая взаимоупорядоченность «аттракторных траекторий» хвасслонов. Механизм резонационной синхронизации ротационных Сдвигов.;15868-15869
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.15;Роль кармо-клофтов в процессе дифференциации Временной Сущности. Взаимосвязь степени синтезированности Конфигураций Формо-Творцов «кармонаций» и степени проявления кармоклофтной динамики.;15870-15872
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.16;Три категории Формо-Творцов. Категория синтезирующих Формо-Творцов.;15873-15876
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.17;Роль кармонационных «граней» в протоформной динамике. Сочетание простейших «кармонаций» образующих каждую «грань» формирует специфическое протоформное Направление.;15877-15881
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.18;Формо-Творцы свилгсонов (часть 1). Три основных класса: иксоны, свилгсоны, аввакклоны.;15882-15884
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.19;"СБОАЛЛГСС-Сущности – эгллеролифтивный элемент хаоса; принципы проявления динамики. Пример с мобильными телефонами.";15885-15889
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.20;Формо-Творцы свилгсонов (часть 2). Роль свилгс-Творцов в процессах Синтеза. Свилгсоны не привязаны к Самосознанию любой из Форм, их задача - формировать «аттракторные траектории».;15890-15892
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.21;Роль хвасслонов в осуществлении протоформной динамики в Самосознании. ? Присутствие «пирамид» и «октаэдров» какого-либо фонового Качества в Конфигурации – признак мощного смещения в протоформное Направление. Текущее состояние социума.;15893-15897
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 6. Три категории Формо-Творцов. Т-признак;Глава 6;БДК / Раздел XVI / Глава 6;Три категории Формо-Творцов. Т-признак;14.16.6.22;Третья категория Формо-Творцов – кармо-плазмоиды. Кармо-клофты. Пример с вязкой «жидкостью».;15898-15903
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.1;Последовательность Синтеза с повышением мерности: обрастание базовых фигур мерностных диапазонов менее ёмкими Конфигурациями «кармонаций».;15904-15907
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.2;Пример образования «октаэдра» из «пирамиды». ? Взаимокомпенсация и ослабление тензорной напряжённости.;15908-15911
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.3;Базовое определение свилгс-сферации. Свилгс-динамика Формо-Творцов любого диапазона задаёт направление «смещения» в сторону большего Энерго-Потенциала.;15912-15915
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.4;Функция инициации процессов синтеза хвасслонами разных Доминант. Участие Формо-Творцов кармонации в разнокачественных резонационных зонах.;15916-15919
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.5;Синтетическая Творческая Активность вне динамики «тетраэдральных» схем Синтеза.  Нам недоступно 99,999 99…% Творческой Активности Коллективных Разумов Третичной Энерго-Плазмы. Проблема построения достоверной модели окружающей действительности. Что находится ниже нулевой и выше 36 мерности? Что такое «тетраэдр»?;15920-15929
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.6;Кармонационные фрактальности других Прото-Форм. Потенциальная степень дифференциации любого Уровня Энерго-Плазмы по под-Уровням приблизительно одинаковая.;15930-15934
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.7;Принцип «проекции». Где находятся Формо-Творцы Третичной Энерго-Плазмы? ? Наше Самосознание ограничено нашей системой Восприятия. Степень синтезированности расширяет возможности резонационного взаимодействия с другими Формами.;15935-15937
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.8;Влияние особенностей схемы Синтеза на качество взаимодействия между разными Формами проявления одной Прото-Формы.  Примеры ВВУ-Конфигураций Формо-Творцов ЛЛУУ-ВВУ-Форм. Смысл приставки «-ВВУ».;15938-15940
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.9;Уменьшение взаимопонимания между Формами Самосознания при замене одной из Доминант. Причины межнациональной вражды и войн.;15941-15942
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.10;"Резонационный принцип взаимодействия «кармонаций» – схожесть ВВУ-Информации. Качество взаимодействия Форм – это степень схожести Конфигураций Формо-Творцов; например, октаэдральная схожесть позволяет взаимодействовать через структуры 4 и 5-ого синтезированных Уровней первых двух Центров. Механизм формирования протоформных и НУУ-ВВУ-Резомиралов.";15943-15951
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.11;Описание механизма разнонаправленного перепроецирования гексаэдральных Конфигураций Формо-Творцов в додекаэдральные. «Обрастание гексаэдра» дополнительными «тетраэдрами», как процесс привлечения дополнительных Формо-Творцов и расширение сферы Творчества.;15952-15956
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.12;Существование внутри- и меж-аспектного Синтеза во всех мерностных диапазонах. Проблемы нереализованности на средних и высших Уровнях.;15957-15958
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.13;Почему мы не можем развиваться исключительно в своём ллууввумическом Направлении? Взаимодополняющий принцип формирования Континуумов и проявленных в нём Прото-Форм.;15959-15960
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.14;Чем резопазон отличается от диапазона? Определение резопазона через задание эталонного информационного Образа.;15961-15965
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.15;О невозможности исключения из рассмотрения динамики Формо-Творцы в диапазоне от 0-й до 2,5 мерности. Динамика Формо-Творцов ЛЛУУ-ВВУ – это наша психика. Наша биология – это проявление других Континуумов и других Прото-Форм.;15966-15968
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.16;О возможностях реализации высокочастотных Конфигураций Формо-Творцов через динамику гексаэдральных Форм.;15969-15970
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.17;"Понятия «клексование» и «Синтез», общность и отличия.
Описание механизма клексования. Роль хвасслонов в процессе клексования";15971-15973
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.18;Выбор Направления смещения ФПВ-ФДО-динамики по принципу наибольшего резонанса и наибольшей недосинтезированности. Поочерёдное проявление активности хвасслонов двух Доминант. Процесс Синтеза существует только в инерционном восприятии – всё уже «давным-давно» создано;15974-15979
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.19;Взаимосвязь между ротационными Сдвигами и процессами Синтеза. Каждый ротационный Сдвиг осуществляется хотя бы «один» элементарный акт Синтеза.;15980-15982
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.20;"О принципах проявления активности 1–4-го синтетических Уровней первых двух Центров через Формо-структуры 2,5-4,0 мерных Континуумов (часть I):
- диапазон мерности «человеческих» Континуумов
- «тетраэдры», как строительный материал
- отсутствие «деструктивных» проявлений низших Уровней, благодаря проявлению через гексаэдральные Формы
- механизм кармических Каналов
- опосредованное проявление низкочастотных Уровней 
- принципы проявления ФЛАКС-Творцов
- полноценная реализация любого Уровня Самосознания происходит только через соответствующие Континуумы";15983-15992
БДК;Том 14;Раздел XVI;БДК / Раздел XVI; Синтетическая динамика Мысле-Форм, Чувство-Форм и СФУУРММ-Форм (неустойчивых Кармо-Форм);Глава 7. Особенности кармонационной динамики;Глава 7;БДК / Раздел XVI / Глава 7;Особенности кармонационной динамики;14.16.7.21;Может ли Самосознание Ориса служить примером неискажённых Представлений об окружающем Мире ? О невозможности передачи в наши Континуумы неискажённой Информации. Пример с бассейном. Влияние Направления творчества на развитие способностей.;15993-15997
